PROVINCIAS;CAMIONES;FURGONETAS;AUTOBUSES;TURISMOS;MOTOCICLETAS;TRACTORES
Araba/Álava;13983;14897;529;159129;16445;1422
Albacete;28502;22307;412;195994;26973;3573
Alicante/Alacant;98381;79844;1685;1026179;158729;5837
Almeria;56489;40737;850;374116;46304;8582
Avila;12474;13254;109;90439;9425;1030
Badajoz;35490;42588;785;380755;35450;4124
Balears (Illes);87036;59590;2816;734108;149219;2211
Barcelona;229614;246748;6726;2486907;655999;16485
Burgos;18458;19892;483;193343;18202;3203
Caceres;32655;28864;597;222707;22308;1641
Cadiz;54551;38193;1056;584507;108354;3102
Castellon/Castello;38775;32938;518;315959;41524;4503
Ciudad Real;36684;32503;534;253550;25722;4721
Cordoba;41271;50815;751;384891;55828;3401
Coruña (A);47652;39458;1688;628008;54758;4989
Cuenca;20118;16633;345;114125;12210;3957
Girona;50281;62900;1193;420150;96446;3470
Granada;53659;58405;1256;474762;97867;4159
Guadalajara;12783;17460;239;142952;16585;1612
Gipuzkoa;31310;30434;967;330178;62676;3356
Huelva;31707;20292;744;257833;28771;2671
Huesca;19880;17804;386;119683;14581;1964
Jaen;43953;63855;578;300368;39752;3358
Leon;27380;31237;672;262337;27656;2945
Lleida;35542;29584;528;233418;32393;4877
Rioja (La);20325;17890;261;150379;17347;1764
Lugo;19462;24310;1250;203821;17800;3338
Madrid;261439;416255;11000;3866062;386167;30897
Malaga;84856;90722;1927;851683;167577;5061
Murcia;86592;68221;1876;784115;115796;13794
Navarra;37028;39512;820;332401;36622;4564
Ourense;19854;19260;627;188769;17491;2087
Asturias;39712;47941;1445;522562;59050;4164
Palencia;8196;9605;266;93896;8963;1476
Palmas (Las);117570;69550;3156;600659;70539;2619
Pontevedra;46510;37485;1246;544321;76011;4622
Salamanca;18511;16658;524;176541;17304;1532
Santa Cruz de Tenerife;112048;74118;2942;575621;68887;2164
Cantabria;30523;25993;643;310098;40986;3653
Segovia;11721;10659;286;90678;8951;1386
Sevilla;92823;58806;2074;951421;141557;8710
Soria;6546;7578;110;49935;5002;999
Tarragona;51014;49242;1189;419753;75825;3664
Teruel;12330;12507;98;75039;8684;1809
Toledo;51905;43633;726;398705;35523;4548
Valencia/València;134652;90595;2429;1278936;201479;14817
Valladolid;22522;17805;603;269418;31393;3140
Bizkaia;45494;39838;2116;523363;57622;3489
Zamora;11535;12166;228;101738;10086;1153
Zaragoza;40205;41684;1048;423298;56109;5853
Ceuta;2429;5150;62;41903;13043;71
Melilla;4056;9072;71;46613;7235;113
